STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,TAVGF,TAVG_ATTRIBUTES,TMAXF,TMAX_ATTRIBUTES,TMINF,TMIN_ATTRIBUTES,,,TAVG,TMAX,TMIN
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2021/1/27,53,"H,,S",70,",,S",,,,,12,21,
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2021/1/28,43,"H,,S",70,",,S",,,,,6,21,
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2021/1/29,53,"H,,S",66,",,S",,,,,12,19,
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2021/1/30,52,"H,,S",66,",,S",,,,,11,19,
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2021/1/31,51,"H,,S",65,",,S",,,,,11,18,
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2021/2/1,51,"H,,S",65,",,S",,,,,11,18,
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2021/2/2,51,"H,,S",66,",,S",,,,,11,19,
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2021/2/3,52,"H,,S",67,",,S",,,,,11,19,
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2021/2/4,53,"H,,S",69,",,S",,,,,12,21,
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2021/2/5,53,"H,,S",70,",,S",,,,,12,21,
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2021/2/6,55,"H,,S",70,",,S",42,",,S",,,13,21,6
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2021/2/7,47,"H,,S",69,",,S",,,,,8,21,
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2021/2/8,41,"H,,S",58,",,S",,,,,5,14,
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2021/2/9,39,"H,,S",49,",,S",,,,,4,9,
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2021/2/10,47,"H,,S",56,",,S",,,,,8,13,
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2021/2/13,50,"H,,S",69,",,S",,,,,10,21,
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2021/2/14,53,"H,,S",69,",,S",,,,,12,21,
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2021/2/15,55,"H,,S",70,",,S",,,,,13,21,
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2021/2/16,53,"H,,S",70,",,S",,,,,12,21,
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2021/2/17,49,"H,,S",68,",,S",,,,,9,20,
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2021/2/18,53,"H,,S",67,",,S",,,,,12,19,
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2021/2/19,60,"H,,S",69,",,S",,,,,16,21,
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2021/2/21,50,"H,,S",67,",,S",,,,,10,19,
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2021/2/22,55,"H,,S",71,",,S",,,,,13,22,
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2021/2/23,57,"H,,S",72,",,S",,,,,14,22,
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2021/2/24,60,"H,,S",72,",,S",45,",,S",,,16,22,7
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2021/2/25,59,"H,,S",70,",,S",,,,,15,21,
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2021/2/26,59,"H,,S",70,",,S",,,,,15,21,
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2021/2/27,58,"H,,S",69,",,S",,,,,14,21,
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2021/2/28,59,"H,,S",69,",,S",,,,,15,21,
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2021/3/1,52,"H,,S",72,",,S",,,,,11,22,
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2021/3/2,56,"H,,S",72,",,S",,,,,13,22,
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2021/3/3,58,"H,,S",70,",,S",45,",,S",,,14,21,7
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2021/3/4,59,"H,,S",70,",,S",47,",,S",,,15,21,8
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2021/3/5,59,"H,,S",70,",,S",,,,,15,21,
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2021/3/6,57,"H,,S",70,",,S",,,,,14,21,
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2021/3/7,56,"H,,S",69,",,S",,,,,13,21,
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2021/3/8,59,"H,,S",73,",,S",45,",,S",,,15,23,7
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2021/3/9,58,"H,,S",73,",,S",,,,,14,23,
CHM00056778,"KUNMING, CH",25.017,102.683,1892,2021/3/10,58,"H,,S",71,",,S",,,,,14,22,
